sample_id,azure_intelligence,gpt-5-mini,gpt-5-nano,mistral_document_ai,mean_cer,std_cer
iam_000_a01-000u,0.02734375,0.0078125,0.01171875,0.0078125,0.013671875,0.009298734932998503
iam_000_a01-003u,0.060810810810810814,0.04072398190045249,1.0,0.04504504504504504,0.2866449594390771,0.47564837236803625
iam_000_a01-011u,0.04404145077720207,0.0051813471502590676,0.06994818652849741,0.0025906735751295338,0.030440414507772018,0.03245243078430665
iam_000_a01-014u,0.22531645569620254,0.21265822784810126,1.0,0.0,0.359493670886076,0.43933594945493537
iam_000_a01-026u,0.017897091722595078,0.0044742729306487695,0.020134228187919462,0.0022371364653243847,0.011185682326621923,0.009133071375030492
iam_000_a01-030u,0.031042128603104215,0.0,0.011111111111111112,0.0,0.010538309928553832,0.01463838144210956
iam_000_a01-063u,0.033942558746736295,0.005221932114882507,0.02349869451697128,0.0,0.01566579634464752,0.015810184616697084
iam_000_a01-068u,0.023017902813299233,0.0025575447570332483,0.023017902813299233,0.0,0.01214833759590793,0.012594447316874813
iam_000_a01-077u,0.02346041055718475,0.011799410029498525,0.035398230088495575,0.005865102639296188,0.01913078832861876,0.01307800717012835
iam_000_a01-091u,0.032520325203252036,0.005420054200542005,0.0921409214092141,0.0,0.032520325203252036,0.042216156984816344
iam_000_a01-113u,0.014767932489451477,0.004219409282700422,0.06540084388185655,0.0,0.021097046413502112,0.030181805532876138
iam_000_a03-071,0.05585106382978723,0.0398936170212766,0.0851063829787234,0.0,0.045212765957446804,0.03548314910671897
iam_000_a05-039,0.21532846715328466,0.18248175182481752,0.33394160583941607,0.19525547445255476,0.23175182481751827,0.0694550255079717
iam_000_a05-058,0.027522935779816515,0.0,0.11926605504587157,0.0,0.03669724770642202,0.056554256907972264
iam_000_a05-084,0.03299492385786802,0.007653061224489796,1.0,0.015228426395939087,0.2639691028695742,0.49080219716905554
iam_000_a05-099,0.04691358024691358,0.009876543209876543,1.0,0.0,0.2641975308641975,0.49095046894040334
iam_000_a05-104,0.03814713896457766,0.01907356948228883,1.0,0.01634877384196185,0.2683923705722071,0.48783481813165624
iam_002_a01-003,0.17567567567567569,0.0022624434389140274,1.0,0.0045045045045045045,0.29561065590477353,0.47656573967552784
iam_003_a01-007x,0.04,0.005390835579514825,0.04582210242587601,0.016,0.026803234501347712,0.019244675974027122
iam_007_a01-014,0.027848101265822784,0.012658227848101266,0.02278481012658228,0.0,0.015822784810126583,0.012294347919268747
iam_008_a01-026x,0.053691275167785234,0.03131991051454139,0.04697986577181208,0.03131991051454139,0.04082774049217002,0.01131542945972671
iam_009_a01-020,0.018867924528301886,0.0,0.005390835579514825,0.0,0.006064690026954178,0.008905762624258315
iam_013_a01-053,0.04784688995215311,0.004807692307692308,0.43990384615384615,0.0,0.1231396071034229,0.21226899702502028
iam_015_a01-063x,0.04177545691906005,0.007832898172323759,0.03655352480417755,0.0,0.02154046997389034,0.020710189789888242
iam_016_a01-077,0.04398826979472141,0.02359882005899705,0.05014749262536873,0.01466275659824047,0.03309933476933191,0.016726982061842068
iam_016_a01-102,0.04289544235924933,0.002688172043010753,0.02956989247311828,0.002680965147453083,0.01945861800570786,0.020118483212822884
iam_018_a01-107,0.04472843450479233,0.006389776357827476,0.01597444089456869,0.0,0.016773162939297124,0.019759292135547894
iam_019_a01-122,0.03722084367245657,0.009925558312655087,0.019851116625310174,0.0,0.016749379652605458,0.01587249053961579
