sample_id,image_path,printed_image_path,dataset,ground_truth,gpt-5-mini_prediction,gpt-5-mini_prompt,gpt-5-mini_ground_truth_inference_time_ms,gpt-5-mini_prediction_inference_time_ms,gpt-5-mini_tokens_used,gpt-5-mini_ground_truth_error,gpt-5-mini_prediction_error,gpt-5-mini_timestamp,gpt-5-nano_prediction,gpt-5-nano_prompt,gpt-5-nano_ground_truth_inference_time_ms,gpt-5-nano_prediction_inference_time_ms,gpt-5-nano_tokens_used,gpt-5-nano_ground_truth_error,gpt-5-nano_prediction_error,gpt-5-nano_timestamp
iam_000_a01-000u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/printed.png,IAM_mini,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.","A MOVE to stop Mr. Gaitskell from
nominating any more Labour life Peers
is to be made at a meeting of Labour
MPs tomorrow. Mr. Michael Foot has
put down a resolution on the subject
and he is to be backed by Mr. Will
Griffiths, MP for Manchester Exchange.",Extract all text from this document image,6226.409912109375,10281.560897827148,,,,2025-12-30T23:27:05.640783,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life peers is to be made at a meeting of Labour MPs tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, MP for Manchester Exchange.",Extract all text from this document image,6715.644836425781,11673.416376113892,,,,2025-12-31T06:34:26.663801
iam_000_a01-003u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/printed.png,IAM_mini,"Though they may gather some Left-wing support, a large majority of Labour MPs are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Though they may gather some Left-wing support, a large majority of Labour MPs are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-",Extract all text from this document image,5810.679912567139,9387.022972106934,,,,2025-12-30T21:45:03.309696,,Extract all text from this document image,7822.118043899536,24072.3557472229,,,,2025-12-31T04:02:13.485255
iam_000_a01-011u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/printed.png,IAM_mini,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","Delegates from Mr. Kenneth Kaunda's
United National Independence Party
(280,000 members) and Mr. Harry Nkumbula's
African National Congress (400,000) will
meet in London today to discuss a common
cause of action. Sir Roy is violently
opposed to Africans getting an elected
majority in Northern Rhodesia, but the
Colonial Secretary, Mr. Iain Macleod,
is insisting on a policy of change.",Extract all text from this document image,5833.6310386657715,20383.24475288391,,,,2025-12-30T23:17:17.937693,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common cause of action. Sir Roy Welensky is violently opposed to Africans giving and electing a majority in Northern Rhodesia, but the Colonial Secretary, Mr. Ian MacLeod, is inviting a policy of change.",Extract all text from this document image,6961.816072463989,15698.930978775024,,,,2025-12-31T06:21:35.308940
iam_000_a01-014u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/printed.png,IAM_mini,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Roy's United Federal Party is
boycotting the London talks on the
Protectorate's future. Said Mr. Nkumbula
last night: ""We want to discuss what to
do if the British demonstrations.""

Yesterday Sir Roy's chief aide, Mr.
Julian Greenfield, telephoned his chief
a report on his talk with Mr. Macmillan
at Chequers.",Extract all text from this document image,6041.399002075195,13930.510759353638,,,,2025-12-30T22:20:31.669995,,Extract all text from this document image,7151.001930236816,21777.77099609375,,,,2025-12-31T04:52:25.932160
iam_000_a01-026u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/printed.png,IAM_mini,"MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.","Mr. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties — the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.",Extract all text from this document image,5764.786243438721,7411.1738204956055,,,,2025-12-30T21:40:12.045735,"Mr. IAN MACLEOD, the Colonial Secretary, arrived in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties—the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.",Extract all text from this document image,15396.533966064453,20594.775199890137,,,,2025-12-31T03:54:53.229119
iam_000_a01-030u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/printed.png,IAM_mini,"Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the week-end meeting. But he told MPs yesterday: ""I have no knowledge of secret negotiations."" He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government. Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.","Northern Rhodesia is a member of the Federation.

Mr. Macleod was not at the week-end meeting. But he told MPs yesterday: ""I have no knowledge of secret negotiations.""

He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government.

Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.",Extract all text from this document image,7896.760702133179,7494.451999664307,,,,2025-12-30T22:49:22.770175,"Northern Rhodesia is a member of the Federation.
Mr. MacLeod was not at the week-end meeting. But he told MPs yesterday: ""I have no knowledge of secret negotiations.""
He said Britain had an obligation to commit the Federal Government. But the final decision remained with the British Government.
Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.",Extract all text from this document image,10604.053020477295,15771.515130996704,,,,2025-12-31T05:44:20.172258
iam_000_a01-063u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/printed.png,IAM_mini,"But he said discussions ""on a higher level than in the past"" might be useful. The President will probably discuss the problem with Dr. Brentano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210million debt to America. United States officials quickly point out that this is money due to America anyway.","But he said discussions ""on a higher level than in the past"" might be useful.

The President will probably discuss the problem with Dr. Brendano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210 million debt to America. United States officials quickly point out that this is money due to America anyway.",Extract all text from this document image,5942.431211471558,11850.168943405151,,,,2025-12-30T21:03:48.644526,"But he said discussions on a higher level than in the past might be useful.
The President will probably discuss the problem with Dr. Brenner, the West German Foreign Minister, who is due in Washington next week.
A big slice of Germany's 'aid' is the early payment of a 210 million debt to America.
United States officials quickly point out that this is money due to America anyway.",Extract all text from this document image,6449.100971221924,16331.121921539307,,,,2025-12-31T02:56:35.252724
iam_000_a01-068u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/printed.png,IAM_mini,And they are unimpressed by the Germans' claim that they cannot pay more than 357million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,And they are unimpressed by the Germans' claim that they cannot pay more than 357 million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,Extract all text from this document image,6246.960878372192,8912.90807723999,,,,2025-12-30T22:00:04.732360,and they are unimpressed by the Germans' claim that they cannot pay more than 357 million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The German Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,Extract all text from this document image,16205.582857131958,24065.294981002808,,,,2025-12-31T04:24:06.916704
iam_000_a01-077u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/printed.png,IAM_mini,"And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy at his Washington Press conference admitted he did not know whether America was lagging behind Russia in missile power.
He said he was waiting for his senior military aides to come up with the answer on February 20.","Now, since this is election year in West
Germany, Dr. Adenauer is in a tough spot.

Joyce Egginton cables: President Kennedy
at his Washington Press conference admitted
he did not know whether America was
lagging behind Russia in missile power.

He said he was waiting for his senior
military aides to come up with the answers
on February 20.",Extract all text from this document image,6056.051969528198,11102.718830108643,,,,2025-12-30T22:41:33.517897,"Well, since this is election year in West Germany, Dr. Adenauer is in a tough spot. Joyce E. Smith cables: President Kennedy at his Washington Press conference admitted he did not know whether America was lagging behind Russia in missile power. He said he was waiting for his senior military aides to come up with the answers on February 20.",Extract all text from this document image,7143.2061195373535,22896.794080734253,,,,2025-12-31T05:33:17.785520
iam_000_a01-091u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/printed.png,IAM_mini,"The result of the vote was not in doubt. For the Tories were massed in answer to their whips to defeat a censure motion on the Government for ""undermining the Health Service"" and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy under censure was monstrous. It had offended many people far beyond the ranks of Labour supporters.","The result of the vote was not in doubt.

For the Tories were massed in answer to their whips to defeat a censure motion on the Government for ""undermining the health service"" and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy under censure was monstrous. It had offended many people far beyond the ranks of Labour supporters.",Extract all text from this document image,4912.337064743042,11458.323955535889,,,,2025-12-30T22:35:52.451880,"The result of the vote was not in doubt.
For the Tories were marshalled in answer to their whips to defeat a censure which lay on the Government for undermining the health service, and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy was monstrous. It had offended many people for beyond the rank of Labour supporters.",Extract all text from this document image,7812.2148513793945,22461.138010025024,,,,2025-12-31T05:24:38.099266
